,Hace 3 dias,Hace 4 dias,Hace 6 dias,Hace 8 dias,Hace 9 dias,Hace 11 dias,Hace 12 dias,Hace 14 dias,Hace 16 dias,Hace 17 dias,Hace 19 dias,Hace 20 dias,Hace 22 dias,Hace 24 dias,Hace 25 dias,Hace 27 dias,Hace 28 dias,Hace 30 dias,Hace 32 dias,Hace 33 dias,Hace 35 dias,Hace 36 dias,y
631,2.9120000000000004,2.9124444444444446,2.9128,2.912952380952381,2.9130000000000003,2.913066666666667,2.9130909090909096,2.9124102564102565,2.9107111111111115,2.9094583333333333,2.90662962962963,2.905122807017544,2.9020952380952383,2.899101449275363,2.897694444444445,2.8952051282051277,2.8941728395061723,2.8923678160919533,2.8907741935483857,2.890020833333332,2.8886666666666647,2.8880571428571415,2.9126666666666665
632,2.9113333333333338,2.9117777777777785,2.9124000000000003,2.912666666666667,2.9127500000000004,2.912866666666667,2.912909090909091,2.9127692307692308,2.911688888888889,2.91075,2.908259259259259,2.9068771929824564,2.904,2.9010434782608696,2.8996111111111116,2.896948717948718,2.895802469135802,2.893862068965517,2.8921935483870955,2.8914166666666654,2.889960784313724,2.889314285714284,2.914
633,2.912,2.9117777777777776,2.9122666666666666,2.912571428571429,2.912666666666667,2.9128000000000003,2.9128484848484857,2.912923076923077,2.9123555555555556,2.91175,2.9097407407407405,2.9084912280701753,2.905777777777778,2.9029565217391307,2.901527777777778,2.898794871794872,2.897530864197531,2.8954022988505743,2.89363440860215,2.892833333333332,2.891313725490195,2.8906095238095224,2.9166666666666665
634,2.913333333333333,2.9126666666666665,2.9124000000000003,2.912666666666667,2.9127500000000004,2.912866666666667,2.912909090909091,2.9129743589743593,2.9128444444444446,2.9124583333333334,2.9110370370370373,2.9099649122807016,2.9074920634920636,2.9048115942028985,2.9034166666666668,2.900666666666667,2.899358024691358,2.8970114942528733,2.8951182795698918,2.8942708333333327,2.89270588235294,2.8919619047619034,2.9186666666666667
635,2.9153333333333333,2.914444444444444,2.9132,2.9131428571428577,2.913166666666667,2.9132000000000007,2.913212121212122,2.9132307692307697,2.9132444444444445,2.9130833333333332,2.912148148148148,2.9113333333333333,2.9091428571428573,2.906608695652174,2.9053055555555556,2.902589743589744,2.90125925925926,2.8987586206896556,2.8966881720430107,2.8957916666666663,2.894156862745097,2.893390476190475,2.9186666666666663
636,2.9176666666666664,2.916444444444444,2.9146666666666663,2.9139047619047624,2.9138333333333337,2.913733333333334,2.91369696969697,2.9136410256410255,2.9136,2.9135833333333334,2.913037037037037,2.9124912280701754,2.9106984126984123,2.908376811594203,2.9071111111111114,2.904512820512821,2.9031851851851855,2.900620689655173,2.8983440860215053,2.897375,2.895647058823529,2.8948571428571417,2.917333333333333
637,2.9186666666666667,2.9179999999999997,2.9161333333333332,2.9147619047619044,2.9145000000000003,2.9142666666666672,2.9141818181818184,2.9140512820512825,2.913955555555556,2.9139166666666667,2.9137037037037037,2.913333333333333,2.912031746031746,2.9099710144927537,2.908805555555556,2.9063333333333334,2.905037037037037,2.9024597701149433,2.900043010752688,2.8989791666666664,2.8971372549019603,2.8963047619047613,2.9160000000000004
638,2.9179999999999997,2.9182222222222225,2.9170666666666665,2.915619047619047,2.915083333333333,2.9146666666666667,2.9145454545454546,2.914358974358975,2.914222222222222,2.914166666666667,2.9140740740740743,2.913894736842105,2.913015873015873,2.911333333333333,2.9102777777777775,2.907948717948718,2.906740740740741,2.9042068965517243,2.901741935483871,2.9005833333333335,2.8985882352941172,2.8977142857142852,2.914
639,2.916666666666667,2.917333333333333,2.917466666666667,2.916285714285714,2.915666666666666,2.9149333333333334,2.9147878787878794,2.914564102564103,2.9144000000000005,2.9143333333333334,2.9142222222222225,2.914175438596491,2.9136507936507936,2.912434782608696,2.9115277777777773,2.9094102564102564,2.9082469135802467,2.9058390804597702,2.903376344086022,2.9021875,2.900019607843137,2.899085714285714,2.913333333333333
640,2.915,2.915777777777778,2.9169333333333336,2.916476190476191,2.916,2.9150666666666667,2.9148484848484846,2.914615384615385,2.9144444444444444,2.9143750000000006,2.9142592592592598,2.91421052631579,2.914,2.913188405797101,2.9125,2.9106410256410253,2.9095802469135803,2.9073103448275863,2.9049032258064518,2.903708333333334,2.9014313725490197,2.9004190476190472,2.9133333333333336
641,2.913666666666667,2.914444444444444,2.915866666666666,2.9163809523809525,2.916083333333334,2.9152666666666667,2.914909090909091,2.9146153846153853,2.914444444444445,2.914375,2.9142592592592593,2.9142105263157903,2.914126984126984,2.9136521739130434,2.913194444444444,2.9116923076923067,2.9107407407407404,2.908620689655172,2.9063440860215053,2.9051666666666667,2.902862745098039,2.9017714285714287,2.9133333333333336
642,2.913333333333333,2.913555555555556,2.9148000000000005,2.915904761904762,2.9160000000000004,2.9154666666666667,2.9150909090909085,2.914615384615385,2.9144444444444444,2.9143750000000006,2.9142592592592598,2.91421052631579,2.9141269841269843,2.913942028985507,2.9136388888888884,2.9125641025641023,2.9117530864197523,2.90983908045977,2.907698924731182,2.9065624999999997,2.9042745098039218,2.9031619047619044,2.913333333333333
643,2.9133333333333336,2.9133333333333336,2.914,2.915142857142857,2.9155833333333336,2.9155333333333338,2.9152727272727272,2.9146666666666667,2.914444444444445,2.914375,2.9142592592592593,2.9142105263157903,2.914126984126985,2.9140579710144925,2.913916666666666,2.9132051282051274,2.912592592592592,2.910919540229884,2.908924731182795,2.9078749999999993,2.9056470588235292,2.904533333333333,2.914
644,2.913333333333333,2.9133333333333336,2.913466666666667,2.9143809523809527,2.9149166666666666,2.915466666666667,2.9153333333333338,2.9148205128205125,2.9144444444444444,2.9143750000000006,2.9142592592592598,2.91421052631579,2.9141269841269843,2.9140579710144925,2.914027777777777,2.9136153846153836,2.913209876543209,2.9118620689655157,2.9100645161290313,2.909062499999999,2.906960784313725,2.905866666666666,2.9146666666666667
645,2.913666666666667,2.9135555555555555,2.9134666666666664,2.9139047619047624,2.914333333333334,2.9152000000000005,2.9153333333333338,2.915025641025641,2.9145333333333334,2.914416666666667,2.9142962962962966,2.9142456140350883,2.914158730158731,2.9140869565217398,2.914055555555555,2.913897435897435,2.9136296296296287,2.912666666666666,2.9110967741935476,2.9101874999999993,2.908215686274509,2.9071619047619044,2.9146666666666667
